A	100.003762	1
A	100.006142	1
A	100.002107	1

B	100.422380	100
B	100.423511	100
B	100.455379	100

C	0.000000	1000
C	0.000000	1000
C	0.000000	1000

C	0.000000	10000000
C	0.000000	10000000
C	0.000000	10000000

D	0.000001	1000
D	0.000001	1000
D	0.000001	1000

D	0.006542	10000000
D	0.008455	10000000
D	0.007847	10000000

E	0.000000	1000
E	0.000000	1000
E	0.000000	1000

E	0.000000	10000000
E	0.000000	10000000
E	0.000000	10000000

F	0.000001	1000
F	0.000001	1000
F	0.000001	1000

F	0.011650	10000000
F	0.008324	10000000
F	0.008940	10000000

G	0.000013	1000
G	0.000005	1000
G	0.000005	1000

G	0.058059	10000000
G	0.054285	10000000
G	0.051693	10000000

H	0.000005	1000
H	0.000005	1000
H	0.000006	1000

H	0.050029	10000000
H	0.046923	10000000
H	0.044681	10000000

I	0.000024	1000
I	0.000011	1000
I	0.000011	1000

I	0.723100	10000000
I	0.738195	10000000
I	0.738778	10000000

J	0.000006	1000
J	0.000005	1000
J	0.000005	1000

J	0.402415	10000000
J	0.397663	10000000
J	0.389318	10000000

