A	100.005156	1
A	100.004729	1
A	100.005030	1

B	100.504418	100
B	100.572244	100
B	100.585524	100

C	0.000002	1000
C	0.000002	1000
C	0.000002	1000

C	0.021943	10000000
C	0.021964	10000000
C	0.027596	10000000

D	0.000001	1000
D	0.000001	1000
D	0.000001	1000

D	0.011656	10000000
D	0.040836	10000000
D	0.016785	10000000

E	0.000002	1000
E	0.000002	1000
E	0.000002	1000

E	0.025946	10000000
E	0.027281	10000000
E	0.024257	10000000

F	0.000001	1000
F	0.000001	1000
F	0.000001	1000

F	0.013059	10000000
F	0.014234	10000000
F	0.014798	10000000

G	0.000009	1000
G	0.000009	1000
G	0.000008	1000

G	0.088445	10000000
G	0.095143	10000000
G	0.091949	10000000

H	0.000005	1000
H	0.000005	1000
H	0.000005	1000

H	0.046405	10000000
H	0.043834	10000000
H	0.048351	10000000

I	0.000012	1000
I	0.000012	1000
I	0.000012	1000

I	0.131635	10000000
I	0.125580	10000000
I	0.124680	10000000

J	0.000006	1000
J	0.000006	1000
J	0.000006	1000

J	0.061769	10000000
J	0.061180	10000000
J	0.062375	10000000

